title	words_men	words_women	frac_women	script_id	imdb_id	year	gross
(500) Days of Summer	12762.0	5738.0	0.31016216216216214	1534	tt1022603	2009	37.0
10 Things I Hate About You	10688.0	8992.0	0.45691056910569106	1512	tt0147800	1999	65.0
12 Years a Slave	16176.0	3452.0	0.17587120440187487	1517	tt2024544	2013	60.0
12 and Holding	10644.0	5324.0	0.33341683366733466	1514	tt0417385	2005	
127 Hours	4336.0	809.0	0.15724003887269195	1520	tt1542344	2010	20.0
1408	3039.0	284.0	0.08546494131808606	6537	tt0450385	2007	91.0
1492: Conquest of Paradise	7656.0	487.0	0.059805968316345326	3778	tt0103594	1992	15.0
15 Minutes	7584.0	1524.0	0.1673254281949934	623	tt0179626	2001	37.0
17 Again	12832.0	3806.0	0.22875345594422405	1525	tt0974661	2009	74.0
2 Guns	9206.0	583.0	0.059556645214015734	6030	tt1272878	2013	80.0
2001: A Space Odyssey	4246.0	155.0	0.035219268348102704	625	tt0062622	1968	376.0
2012	11574.0	2560.0	0.18112353190887223	1509	tt1190080	2009	192.0
21	9088.0	732.0	0.07454175152749491	8543	tt0478087	2008	98.0
22 Jump Street	8355.0	1591.0	0.1599638045445405	7834	tt2294449	2014	204.0
25th Hour	9059.0	1073.0	0.1059020923805764	630	tt0307901	2002	19.0
28 Days	699.0	1705.0	0.709234608985025	3784	tt0191754	2000	59.0
28 Days Later...	3309.0	1304.0	0.2826793843485801	6360	tt0289043	2002	67.0
28 Weeks Later	2091.0	1019.0	0.3276527331189711	7597	tt0463854	2007	36.0
3 Days to Kill	5575.0	4573.0	0.4506306661411115	8209	tt2172934	2014	32.0
3 Men and a Baby	12366.0	632.0	0.048622865056162486	1408	tt0094137	1987	373.0
3 Women	171.0	1531.0	0.899529964747356	7678	tt0075612	1977	
30 Days of Night	4161.0	1713.0	0.2916241062308478	8671	tt0389722	2007	50.0
30 Minutes or Less	14278.0	704.0	0.04698972099853157	1530	tt1622547	2011	40.0
300	9348.0	1071.0	0.10279297437374028	7770	tt0416449	2006	280.0
3:10 to Yuma	5699.0	145.0	0.024811772758384667	3789	tt0381849	2007	67.0
42	14974.0	1793.0	0.10693624381225025	1502	tt0453562	2013	101.0
48 Hrs.	20866.0	3438.0	0.1414581961816985	1532	tt0083511	1982	224.0
50/50	5617.0	2209.0	0.28226424738052647	3770	tt1306980	2011	38.0
8MM	16082.0	4426.0	0.21581821728106104	1537	tt0134273	1999	62.0
A Beautiful Mind	6487.0	1496.0	0.1873982212200927	5820	tt0268978	2001	262.0
A Civil Action	4553.0	255.0	0.05303660565723794	6574	tt0120633	1998	105.0
A Clockwork Orange	10647.0	703.0	0.061938325991189425	4022	tt0066921	1971	
A Dry White Season	9202.0	1716.0	0.15717164315808757	2190	tt0097243	1989	8.0
A Few Good Men	36484.0	5854.0	0.13826822240068024	1538	tt0104257	1992	295.0
A Good Year	6423.0	3374.0	0.3443911401449423	8880	tt0401445	2006	9.0
A History of Violence	7891.0	2818.0	0.263143150620973	8007	tt0399146	2005	42.0
A Man Apart	7281.0	110.0	0.01488296576917873	7931	tt0266465	2003	37.0
A Most Violent Year	10130.0	1644.0	0.13962969254289112	5368	tt2937898	2014	6.0
A Most Wanted Man	6029.0	2938.0	0.32764581242332996	8057	tt1972571	2014	18.0
A Night at the Roxbury	13139.0	1490.0	0.10185248479048466	5342	tt0120770	1998	56.0
A Nightmare on Elm Street	2188.0	3132.0	0.5887218045112782	1196	tt0087800	1984	68.0
A Nightmare on Elm Street 2: Freddy's Revenge	2098.0	1286.0	0.38002364066193856	6161	tt0089686	1985	73.0
A Nightmare on Elm Street 3: Dream Warriors	3817.0	3546.0	0.4815971750645118	4706	tt0093629	1987	99.0
A Nightmare on Elm Street 4: The Dream Master	1778.0	2252.0	0.5588089330024814	4702	tt0095742	1988	104.0
